"state","race_ethnicity","category","a","b","c","d","or","log_or","se_log_or","ci_low","ci_high","flag_zero_cell","flag_small_cell_5"
"Alabama","Native Hawaiian or Other Pacific Islander","not_determined",0,24,1961,28376,0.295239482486852,-1.21996844693763,1.42876218485665,0.017946820166188,4.856924581176,TRUE,TRUE
"Alabama","White","not_determined",954,16271,1007,12129,0.706203157700656,-0.347852324100714,0.0467458314084853,0.644375174335401,0.773963553857817,FALSE,FALSE
"Alabama","American Indian or Alaska Native","not_eligible",7,25,4982,25347,1.42456041750301,0.353863287185941,0.427898723834491,0.61580913358998,3.29545677779368,FALSE,FALSE
"Alabama","Asian","not_eligible",71,364,4918,25008,0.991853205761298,-0.00818016071030532,0.130671656002742,0.767745787509744,1.28137828664606,FALSE,FALSE
"Alabama","Black or African American","not_eligible",1410,8120,3579,17252,0.837029635104613,-0.177895802781802,0.0342015279962797,0.782758705105956,0.895063325994598,FALSE,FALSE
"Alabama","Hispanic or Latino","not_eligible",264,1572,4725,23800,0.845914616906983,-0.167336850111113,0.0683934801115086,0.739790625649747,0.967262241892309,FALSE,FALSE
"Alabama","MU_N","not_eligible",201,1078,4788,24294,0.946067627324341,-0.0554412248275143,0.0784396969770164,0.811246738831342,1.10329436486917,FALSE,FALSE
"Alabama","Native Hawaiian or Other Pacific Islander","not_eligible",3,21,4986,25351,0.726348060283078,-0.319725957165773,0.617407797732161,0.216569180812996,2.43608764043186,FALSE,TRUE
"Alabama","White","not_eligible",3033,14192,1956,11180,1.22152331565005,0.200098699253548,0.0316363979531411,1.14808043326808,1.29966435054492,FALSE,FALSE
"Alabama","American Indian or Alaska Native","part_b_eligible",12,20,10551,19778,1.12470855843048,0.117523942921853,0.365347331055213,0.549604238601691,2.30160041091589,FALSE,FALSE
"Alabama","Asian","part_b_eligible",158,277,10405,19521,1.0701318617646,0.0677818761749873,0.100431851280985,0.878917227554355,1.30294658662035,FALSE,FALSE
"Alabama","Black or African American","part_b_eligible",3135,6395,7428,13403,0.884559638045171,-0.122665341940022,0.0261646198987833,0.840340596803277,0.93110550202512,FALSE,FALSE
"Alabama","Hispanic or Latino","part_b_eligible",651,1185,9912,18613,1.03161517557034,0.0311257056286923,0.0503447501740827,0.934680980993694,1.13860225264838,FALSE,FALSE
"Alabama","MU_N","part_b_eligible",463,816,10100,18982,1.06637861580276,0.0642684369832138,0.0594727567766674,0.949045851163043,1.19821750534795,FALSE,FALSE
"Alabama","Native Hawaiian or Other Pacific Islander","part_b_eligible",9,15,10554,19783,1.12467310972143,0.117492424296488,0.421809289885666,0.492011207203965,2.57085526754295,FALSE,FALSE
"Alabama","White","part_b_eligible",6135,11090,4428,8708,1.08791215504581,0.0842604053265097,0.0243688947999083,1.03717157782806,1.14113506617188,FALSE,FALSE
"Alabama","American Indian or Alaska Native","withdrawn",9,23,8237,22092,1.04949564795119,0.0483097134868991,0.393390443018947,0.485422538062379,2.26903579604072,FALSE,FALSE
"Alabama","Asian","withdrawn",106,329,8140,21786,0.862309283585879,-0.1481412750075,0.112437658736635,0.691758006487975,1.07490956893076,FALSE,FALSE
"Alabama","Black or African American","withdrawn",2121,7409,6125,14706,0.687336714035054,-0.374930984508735,0.0289432455396126,0.649430310508776,0.727455665089597,FALSE,FALSE
"Alabama","Hispanic or Latino","withdrawn",471,1365,7775,20750,0.920886187767217,-0.0824188249912328,0.0550686218963205,0.826667001122178,1.02584398514669,FALSE,FALSE
"Alabama","MU_N","withdrawn",342,937,7904,21178,0.977967736639028,-0.022278598613121,0.0645364199340975,0.861767314369807,1.10983658576825,FALSE,FALSE
"Alabama","Native Hawaiian or Other Pacific Islander","withdrawn",6,18,8240,22097,0.893891585760518,-0.112170779886522,0.471581208762092,0.354704599829913,2.2526975051257,FALSE,FALSE
"Alabama","White","withdrawn",5191,12034,3055,10081,1.42342117410381,0.353063251495178,0.0265003348928871,1.35137500334374,1.49930835917032,FALSE,FALSE
"Alaska","American Indian or Alaska Native","dismissed",356,1795,579,5201,1.78153285128042,0.577474146129728,0.0727012947755031,1.54493155495709,2.05436887479427,FALSE,FALSE
"Alaska","Asian","dismissed",26,227,909,6769,0.8529196531988,-0.159089929128792,0.210034918823533,0.565096723742464,1.28734056356748,FALSE,FALSE
"Alaska","Black or African American","dismissed",19,204,916,6792,0.690598510146417,-0.370196651360723,0.242430350464091,0.4294026860201,1.1106737748588,FALSE,FALSE
"Alaska","Hispanic or Latino","dismissed",63,530,872,6466,0.881422018348624,-0.126218745778236,0.138062494674536,0.6724542259394,1.15532737316722,FALSE,FALSE
"Alaska","MU_N","dismissed",110,768,825,6228,1.08125,0.0781177792639521,0.108469713864426,0.874167862063713,1.33738794713868,FALSE,FALSE
"Alaska","Native Hawaiian or Other Pacific Islander","dismissed",29,105,906,6891,2.10069378744875,0.742267665143179,0.212733254859038,1.38446043431132,3.18746154043826,FALSE,FALSE
"Alaska","White","dismissed",332,3367,603,3629,0.593423339691996,-0.521847239758701,0.0724084338142635,0.51490762155234,0.683911531605494,FALSE,FALSE
"Alaska","American Indian or Alaska Native","moved_out",64,2087,636,5144,0.248028375719112,-1.3942121211402,0.133682029354842,0.190857367165028,0.322324865294135,FALSE,FALSE
"Alaska","Asian","moved_out",17,236,683,6995,0.737741022904931,-0.304162433440602,0.25429885105385,0.448167522860851,1.21441601435675,FALSE,FALSE
"Alaska","Black or African American","moved_out",25,198,675,7033,1.31556303778526,0.274264739609154,0.216042063879898,0.861416022849438,2.00914083378884,FALSE,FALSE
"Alaska","Hispanic or Latino","moved_out",84,509,616,6722,1.8008572959457,0.588262827044322,0.125066143775269,1.40935645491166,2.30111196430016,FALSE,FALSE
"Alaska","MU_N","moved_out",70,808,630,6423,0.883250825082508,-0.124146058599522,0.131401408374124,0.682704734913057,1.14270779169018,FALSE,FALSE
"Alaska","Native Hawaiian or Other Pacific Islander","moved_out",8,126,692,7105,0.65189466923571,-0.427872280358111,0.366772873308897,0.317668430341806,1.33776799702973,FALSE,FALSE
"Alaska","White","moved_out",432,3267,268,3964,1.95584063155298,0.670820091582062,0.0812681964084609,1.66784842352599,2.29356128655054,FALSE,FALSE
"Alaska","American Indian or Alaska Native","not_determined",181,1970,394,5386,1.25597928315597,0.227915573607402,0.0935746424012928,1.04551467329224,1.50881092347525,FALSE,FALSE
"Alaska","Asian","not_determined",26,227,549,7129,1.48731775033501,0.396974330148177,0.211727632957655,0.9821494130212,2.25231931224893,FALSE,FALSE
"Alaska","Black or African American","not_determined",25,198,550,7158,1.64325068870523,0.49667640727312,0.216814184721784,1.07435513290936,2.51338942144566,FALSE,FALSE
"Alaska","Hispanic or Latino","not_determined",28,565,547,6791,0.615256184174338,-0.485716538279427,0.198644417242887,0.416837177078384,0.908124785840741,FALSE,FALSE
"Alaska","MU_N","not_determined",65,813,510,6543,1.02572172780551,0.0253964894991938,0.136851185926176,0.784403411946485,1.34128057944259,FALSE,FALSE
"Alaska","Native Hawaiian or Other Pacific Islander","not_determined",9,125,566,7231,0.919844522968198,-0.0835506199943128,0.347873811923415,0.465155606674364,1.8189911812176,FALSE,FALSE
"Alaska","White","not_determined",241,3458,334,3898,0.813368635776452,-0.206570845661775,0.087687603943977,0.684930059130485,0.965892106567353,FALSE,FALSE
"Alaska","American Indian or Alaska Native","not_eligible",409,1742,1009,4771,1.11018002159667,0.104522183792852,0.064959375998103,0.97745972192496,1.26092119471191,FALSE,FALSE
"Alaska","Asian","not_eligible",30,223,1388,6290,0.609645778679521,-0.494877181170227,0.196715738752885,0.414600435269936,0.896448589639747,FALSE,FALSE
"Alaska","Black or African American","not_eligible",26,197,1392,6316,0.598838905420386,-0.512762656235339,0.210747240679083,0.396203524908563,0.905110661819192,FALSE,FALSE
"Alaska","Hispanic or Latino","not_eligible",82,511,1336,6002,0.720912382671057,-0.32723767103573,0.122748455131955,0.566756997422149,0.916997347809278,FALSE,FALSE
"Alaska","MU_N","not_eligible",165,713,1253,5800,1.07120190644837,0.0687812951247271,0.0918347918539391,0.894746450021108,1.28245663824824,FALSE,FALSE
"Alaska","Native Hawaiian or Other Pacific Islander","not_eligible",10,124,1408,6389,0.365938874633431,-1.00528896872664,0.330047363902244,0.1916313505223,0.698796202202826,FALSE,FALSE
"Alaska","White","not_eligible",696,3003,722,3510,1.12674029571536,0.119328769918175,0.0586491583771034,1.00438601000846,1.26399977831039,FALSE,FALSE
"Alaska","American Indian or Alaska Native","part_b_eligible",801,1350,2273,3507,0.915450945886494,-0.088338498076481,0.052098669805298,0.826585523062343,1.01387020573462,FALSE,FALSE
"Alaska","Asian","part_b_eligible",96,157,2978,4700,0.965038734156639,-0.0355870394262762,0.131661137819166,0.745542699903423,1.24915683373104,FALSE,FALSE
"Alaska","Black or African American","part_b_eligible",100,123,2974,4734,1.29414273295389,0.257848493669503,0.136665894182786,0.9900333407169,1.6916656685972,FALSE,FALSE
"Alaska","Hispanic or Latino","part_b_eligible",271,322,2803,4535,1.36165665447181,0.308702086719741,0.0858655620292092,1.15074042744225,1.61123116947275,FALSE,FALSE
"Alaska","MU_N","part_b_eligible",334,544,2740,4313,0.966443484328038,-0.0341324566135149,0.0736822091810145,0.836482577515067,1.11659589034692,FALSE,FALSE
"Alaska","Native Hawaiian or Other Pacific Islander","part_b_eligible",54,80,3020,4777,1.06770695364238,0.0655133149114394,0.177648475225468,0.753762689043543,1.5124098810235,FALSE,FALSE
"Alaska","White","part_b_eligible",1418,2281,1656,2576,0.967022261191485,-0.0335337629132759,0.0462134863272119,0.883280734656649,1.05870310191176,FALSE,FALSE
"Alaska","American Indian or Alaska Native","withdrawn",324,1827,879,4901,0.988785958069235,-0.0112773933613068,0.0705369516467448,0.861112760469445,1.13538866889151,FALSE,FALSE
"Alaska","Asian","withdrawn",58,195,1145,6533,1.69707311611242,0.528905070835083,0.152957562474365,1.25747815162222,2.2903436991856,FALSE,FALSE
"Alaska","Black or African American","withdrawn",28,195,1175,6533,0.798358974358974,-0.225196940126052,0.204564473226444,0.534649809733919,1.19213930377478,FALSE,FALSE
"Alaska","Hispanic or Latino","withdrawn",65,528,1138,6200,0.670700857431965,-0.399432057463718,0.135346147796232,0.514422427770474,0.874455731079988,FALSE,FALSE
"Alaska","MU_N","withdrawn",132,746,1071,5982,0.988307387298083,-0.0117615088752454,0.100085539098933,0.812264571021528,1.20250411828202,FALSE,FALSE
"Alaska","Native Hawaiian or Other Pacific Islander","withdrawn",24,110,1179,6618,1.22470506592644,0.202700052499716,0.227501330173151,0.784112672025299,1.91286603573407,FALSE,FALSE
"Alaska","White","withdrawn",572,3127,631,3601,1.04390724009534,0.0429706350296188,0.0626939691823234,0.923199851051447,1.18039699062164,FALSE,FALSE
"American Samoa","American Indian or Alaska Native","dismissed",0,0,25,216,8.49019607843137,2.13891209527816,2.01092879633239,0.164884781072684,437.174546863946,TRUE,TRUE
"American Samoa","Asian","dismissed",0,0,25,216,8.49019607843137,2.13891209527816,2.01092879633239,0.164884781072684,437.174546863946,TRUE,TRUE
"American Samoa","Black or African American","dismissed",0,0,25,216,8.49019607843137,2.13891209527816,2.01092879633239,0.164884781072684,437.174546863946,TRUE,TRUE
"American Samoa","Hispanic or Latino","dismissed",0,0,25,216,8.49019607843137,2.13891209527816,2.01092879633239,0.164884781072684,437.174546863946,TRUE,TRUE
"American Samoa","MU_N","dismissed",3,22,22,194,1.20247933884298,0.184385541014806,0.655283956325563,0.332880732644439,4.34376765773558,FALSE,TRUE
"American Samoa","Native Hawaiian or Other Pacific Islander","dismissed",22,194,3,22,0.831615120274914,-0.184385541014806,0.655283956325563,0.230214891493829,3.00407894459946,FALSE,TRUE
"American Samoa","White","dismissed",0,0,25,216,8.49019607843137,2.13891209527816,2.01092879633239,0.164884781072684,437.174546863946,TRUE,TRUE
"American Samoa","American Indian or Alaska Native","moved_out",0,0,17,224,12.8285714285714,2.55167482625284,2.01534046754569,0.246993689778318,666.301414605638,TRUE,TRUE
"American Samoa","Asian","moved_out",0,0,17,224,12.8285714285714,2.55167482625284,2.01534046754569,0.246993689778318,666.301414605638,TRUE,TRUE
"American Samoa","Black or African American","moved_out",0,0,17,224,12.8285714285714,2.55167482625284,2.01534046754569,0.246993689778318,666.301414605638,TRUE,TRUE
"American Samoa","Hispanic or Latino","moved_out",0,0,17,224,12.8285714285714,2.55167482625284,2.01534046754569,0.246993689778318,666.301414605638,TRUE,TRUE
"American Samoa","MU_N","moved_out",2,23,15,201,1.16521739130435,0.152907671587661,0.784295895637827,0.250496010717747,5.42017242153995,FALSE,TRUE
"American Samoa","Native Hawaiian or Other Pacific Islander","moved_out",15,201,2,23,0.858208955223881,-0.152907671587661,0.784295895637827,0.184495975815449,3.9920795430422,FALSE,TRUE
"American Samoa","White","moved_out",0,0,17,224,12.8285714285714,2.55167482625284,2.01534046754569,0.246993689778318,666.301414605638,TRUE,TRUE
"American Samoa","American Indian or Alaska Native","not_determined",0,0,10,231,22.047619047619,3.09320461636281,2.02473646425053,0.416745792422807,1166.41250975311,TRUE,TRUE
"American Samoa","Asian","not_determined",0,0,10,231,22.047619047619,3.09320461636281,2.02473646425053,0.416745792422807,1166.41250975311,TRUE,TRUE
"American Samoa","Black or African American","not_determined",0,0,10,231,22.047619047619,3.09320461636281,2.02473646425053,0.416745792422807,1166.41250975311,TRUE,TRUE
"American Samoa","Hispanic or Latino","not_determined",0,0,10,231,22.047619047619,3.09320461636281,2.02473646425053,0.416745792422807,1166.41250975311,TRUE,TRUE
"American Samoa","MU_N","not_determined",2,23,8,208,2.26086956521739,0.815749502652278,0.820540037522397,0.4527075391695,11.2910228981463,FALSE,TRUE
"American Samoa","Native Hawaiian or Other Pacific Islander","not_determined",8,208,2,23,0.442307692307692,-0.815749502652278,0.820540037522397,0.0885659349928496,2.20893162467433,FALSE,TRUE
"American Samoa","White","not_determined",0,0,10,231,22.047619047619,3.09320461636281,2.02473646425053,0.416745792422807,1166.41250975311,TRUE,TRUE
"American Samoa","American Indian or Alaska Native","not_eligible",0,0,86,155,1.79768786127168,0.586501317681455,2.00449284404031,0.0353553817401914,91.4056499322086,TRUE,TRUE
"American Samoa","Asian","not_eligible",0,0,86,155,1.79768786127168,0.586501317681455,2.00449284404031,0.0353553817401914,91.4056499322086,TRUE,TRUE
"American Samoa","Black or African American","not_eligible",0,0,86,155,1.79768786127168,0.586501317681455,2.00449284404031,0.0353553817401914,91.4056499322086,TRUE,TRUE
"American Samoa","Hispanic or Latino","not_eligible",0,0,86,155,1.79768786127168,0.586501317681455,2.00449284404031,0.0353553817401914,91.4056499322086,TRUE,TRUE
"American Samoa","MU_N","not_eligible",10,15,76,140,1.2280701754386,0.205443974214809,0.432397292482696,0.526210098571943,2.86607261984272,FALSE,FALSE
"American Samoa","Native Hawaiian or Other Pacific Islander","not_eligible",76,140,10,15,0.814285714285714,-0.205443974214809,0.432397292482696,0.348909512298009,1.90038162078959,FALSE,FALSE
"American Samoa","White","not_eligible",0,0,86,155,1.79768786127168,0.586501317681455,2.00449284404031,0.0353553817401914,91.4056499322086,TRUE,TRUE
"American Samoa","American Indian or Alaska Native","part_b_eligible",0,0,80,161,2.00621118012422,0.696247958238194,2.0046481762925,0.0394444286488345,102.039335772566,TRUE,TRUE
"American Samoa","Asian","part_b_eligible",0,0,80,161,2.00621118012422,0.696247958238194,2.0046481762925,0.0394444286488345,102.039335772566,TRUE,TRUE
"American Samoa","Black or African American","part_b_eligible",0,0,80,161,2.00621118012422,0.696247958238194,2.0046481762925,0.0394444286488345,102.039335772566,TRUE,TRUE
"American Samoa","Hispanic or Latino","part_b_eligible",0,0,80,161,2.00621118012422,0.696247958238194,2.0046481762925,0.0394444286488345,102.039335772566,TRUE,TRUE
"American Samoa","MU_N","part_b_eligible",6,19,74,142,0.60597439544808,-0.500917545541295,0.489748928175116,0.232044655609031,1.5824754376475,FALSE,FALSE
"American Samoa","Native Hawaiian or Other Pacific Islander","part_b_eligible",74,142,6,19,1.65023474178404,0.500917545541294,0.489748928175116,0.63192134058434,4.3095153274501,FALSE,FALSE
"American Samoa","White","part_b_eligible",0,0,80,161,2.00621118012422,0.696247958238194,2.0046481762925,0.0394444286488345,102.039335772566,TRUE,TRUE
"American Samoa","American Indian or Alaska Native","withdrawn",0,0,21,220,10.2558139534884,2.32784475975328,2.01272123636118,0.198475648588846,529.947732109226,TRUE,TRUE
"American Samoa","Asian","withdrawn",0,0,21,220,10.2558139534884,2.32784475975328,2.01272123636118,0.198475648588846,529.947732109226,TRUE,TRUE
"American Samoa","Black or African American","withdrawn",0,0,21,220,10.2558139534884,2.32784475975328,2.01272123636118,0.198475648588846,529.947732109226,TRUE,TRUE
"American Samoa","Hispanic or Latino","withdrawn",0,0,21,220,10.2558139534884,2.32784475975328,2.01272123636118,0.198475648588846,529.947732109226,TRUE,TRUE
"American Samoa","MU_N","withdrawn",2,23,19,197,0.901601830663616,-0.103582285797656,0.775361839368506,0.197248388138016,4.12112802912843,FALSE,TRUE
"American Samoa","Native Hawaiian or Other Pacific Islander","withdrawn",19,197,2,23,1.10913705583756,0.103582285797656,0.775361839368506,0.242652010064217,5.06974992008702,FALSE,TRUE
"American Samoa","White","withdrawn",0,0,21,220,10.2558139534884,2.32784475975328,2.01272123636118,0.198475648588846,529.947732109226,TRUE,TRUE
"Arizona","American Indian or Alaska Native","dismissed",335,1921,4003,38809,1.69069124757161,0.525137467539913,0.0614915985603977,1.49872378259848,1.90724730454287,FALSE,FALSE
"Arizona","Asian","dismissed",53,966,4285,39764,0.509140895463254,-0.67503049236024,0.141991696305778,0.385453692226775,0.672517754170618,FALSE,FALSE
"Arizona","Black or African American","dismissed",242,1853,4096,38877,1.23957481322518,0.214768428255507,0.0702976499375965,1.08002591301189,1.4226933808442,FALSE,FALSE
"Arizona","Hispanic or Latino","dismissed",1558,13465,2780,27265,1.13480646600432,0.126462121860474,0.0333542265630567,1.06299228098663,1.21147231105944,FALSE,FALSE
"Arizona","MU_N","dismissed",132,1296,4206,39434,0.954927704689949,-0.0461196432622811,0.0927926555751763,0.796129635133636,1.1454000466034,FALSE,FALSE
"Arizona","Native Hawaiian or Other Pacific Islander","dismissed",20,129,4318,40601,1.45778802273519,0.376920233945935,0.240848825237307,0.90924248198461,2.33727081756189,FALSE,FALSE
"Arizona","White","dismissed",1998,21100,2340,19630,0.79436018957346,-0.230218281336899,0.0320341494007291,0.74601825082682,0.845834683105714,FALSE,FALSE
"Arizona","American Indian or Alaska Native","moved_out",61,2195,1892,40920,0.601048895481273,-0.509078990882221,0.131916650360877,0.464109099765421,0.778394077905074,FALSE,FALSE
"Arizona","Asian","moved_out",83,936,1870,42179,2.00012397732986,0.693209167303657,0.116940312460129,1.59043275933557,2.5153505555061,FALSE,FALSE
"Arizona","Black or African American","moved_out",113,1982,1840,41133,1.27452205721055,0.242571251244141,0.0996086744764772,1.04847659555028,1.54930160693158,FALSE,FALSE
"Arizona","Hispanic or Latino","moved_out",392,14631,1561,28484,0.488888848023102,-0.715620120001117,0.057402881943726,0.436865562458742,0.547107225335319,FALSE,FALSE
"Arizona","MU_N","moved_out",81,1347,1872,41768,1.34169950316944,0.293937096314926,0.116816947903726,1.06713328313674,1.68690976586703,FALSE,FALSE
"Arizona","Native Hawaiian or Other Pacific Islander","moved_out",8,141,1945,42974,1.25359441375413,0.226014955886795,0.364183480244721,0.613985071042968,2.55950678332629,FALSE,FALSE
"Arizona","White","moved_out",1215,21883,738,21232,1.59736425312889,0.468354929091805,0.0476534900085913,1.45492461556787,1.75374897769402,FALSE,FALSE
"Arizona","American Indian or Alaska Native","not_determined",251,2005,4516,38296,1.06159490556161,0.0597724051939066,0.0687776427924335,0.92771400804517,1.21479651459513,FALSE,FALSE
"Arizona","Asian","not_determined",93,926,4674,39375,0.846065177430221,-0.167158880463793,0.109872417431617,0.682147875340372,1.04937112660925,FALSE,FALSE
"Arizona","Black or African American","not_determined",223,1872,4544,38429,1.00744136627994,0.00741381590442612,0.0725574627731913,0.873891711287977,1.16140031239814,FALSE,FALSE
"Arizona","Hispanic or Latino","not_determined",1761,13262,3006,27039,1.1944060152956,0.177649003478993,0.0318263128991769,1.12217574487632,1.2712854790241,FALSE,FALSE
"Arizona","MU_N","not_determined",121,1307,4646,38994,0.777013142583677,-0.252298014235431,0.0962832157606966,0.643384267164852,0.938396312375269,FALSE,FALSE
"Arizona","Native Hawaiian or Other Pacific Islander","not_determined",17,132,4750,40169,1.08911164274322,0.085362357284969,0.258136994874233,0.656661802918639,1.80635475535008,FALSE,FALSE
"Arizona","White","not_determined",2301,20797,2466,19504,0.875077551307875,-0.133442766485792,0.0306506778274294,0.824054924763631,0.929259322153357,FALSE,FALSE
"Arizona","American Indian or Alaska Native","not_eligible",306,1950,5273,37539,1.11715065135888,0.110781382397283,0.0632224540360983,0.98695125528244,1.26452605551874,FALSE,FALSE
"Arizona","Asian","not_eligible",126,893,5453,38596,0.998678927674525,-0.00132194571080817,0.0962581086368325,0.826969190953076,1.20604202852066,FALSE,FALSE
"Arizona","Black or African American","not_eligible",240,1855,5339,37634,0.911985193629343,-0.0921315240951406,0.0701400237694411,0.794846733723256,1.04638662790144,FALSE,FALSE
"Arizona","Hispanic or Latino","not_eligible",1725,13298,3854,26191,0.881542268901536,-0.126082327186018,0.0308635895091348,0.829796355907651,0.936515045321016,FALSE,FALSE
"Arizona","MU_N","not_eligible",187,1241,5392,38248,1.06887931384903,0.0666107293637757,0.0797809529538296,0.914150611367172,1.24979732373168,FALSE,FALSE
"Arizona","Native Hawaiian or Other Pacific Islander","not_eligible",15,134,5564,39355,0.791770389604816,-0.233483841315484,0.272643521435957,0.46400259071686,1.35107079657989,FALSE,FALSE
"Arizona","White","not_eligible",2980,20118,2599,19371,1.10402071410842,0.0989587104582529,0.0286646843975353,1.04370400488833,1.16782318691101,FALSE,FALSE
"Arizona","American Indian or Alaska Native","part_b_eligible",1010,1246,20121,22691,0.914128830367608,-0.0897837651986703,0.0434331311739729,0.839530306635454,0.99535598882448,FALSE,FALSE
"Arizona","Asian","part_b_eligible",499,520,20632,23417,1.08914857801175,0.0853962699168775,0.0633897259511447,0.961897297907613,1.23323417953811,FALSE,FALSE
"Arizona","Black or African American","part_b_eligible",938,1157,20193,22780,0.914581377006614,-0.0892888298651016,0.0449869156979502,0.83739182765566,0.99888614569961,FALSE,FALSE
"Arizona","Hispanic or Latino","part_b_eligible",7360,7663,13771,16274,1.13503125872613,0.126660191281994,0.020010767982701,1.0913757823929,1.18043297191437,FALSE,FALSE
"Arizona","MU_N","part_b_eligible",696,732,20435,23205,1.0797049420995,0.0766878020500065,0.0538045689336566,0.971640738870465,1.19978785919298,FALSE,FALSE
"Arizona","Native Hawaiian or Other Pacific Islander","part_b_eligible",67,82,21064,23855,0.925336141654238,-0.077598211099225,0.164954203894049,0.669711369817477,1.27853133997847,FALSE,FALSE
"Arizona","White","part_b_eligible",10561,12537,10570,11400,0.908534201393959,-0.0959227458512471,0.0188885833113709,0.875513796338119,0.942799986196655,FALSE,FALSE
"Arizona","American Indian or Alaska Native","withdrawn",267,1989,6759,36053,0.71603696049533,-0.334023492550266,0.0665114379926444,0.628520954499076,0.815738799359543,FALSE,FALSE
"Arizona","Asian","withdrawn",161,858,6865,37184,1.01637541870608,0.0162427875060123,0.0868863683269678,0.857225305747182,1.20507290769905,FALSE,FALSE
"Arizona","Black or African American","withdrawn",325,1770,6701,36272,0.993898372533992,-0.00612031846399787,0.0617955966182385,0.880522596746472,1.12187237281106,FALSE,FALSE
"Arizona","Hispanic or Latino","withdrawn",2151,12872,4875,25170,0.86278577233829,-0.147588854707075,0.0280614699133511,0.81661352656793,0.911568648731482,FALSE,FALSE
"Arizona","MU_N","withdrawn",207,1221,6819,36821,0.915439336468813,-0.0883511797950883,0.0763133420655279,0.788261548194164,1.06313593587599,FALSE,FALSE
"Arizona","Native Hawaiian or Other Pacific Islander","withdrawn",18,131,7008,37911,0.743314075081042,-0.296636611494424,0.251710577795725,0.453849631490041,1.21739839779006,FALSE,FALSE
"Arizona","White","withdrawn",3897,19201,3129,18841,1.2220949362307,0.200566546954911,0.0261027762969059,1.16114327937182,1.28624611595626,FALSE,FALSE
"Arkansas","American Indian or Alaska Native","dismissed",1,31,497,10665,0.692217823067437,-0.367854599676324,1.01703682411281,0.0943025757835977,5.08114980519507,FALSE,TRUE
"Arkansas","Asian","dismissed",4,133,494,10563,0.643085446409546,-0.441477676466623,0.509546620600359,0.236882971049428,1.74583630706604,FALSE,TRUE
"Arkansas","Black or African American","dismissed",146,2515,352,8181,1.34920703054401,0.299517035090098,0.101044905458832,1.10679562976473,1.64471160015001,FALSE,FALSE
