sheet,source_file,year_code,state,exiting_total2,attempts_to_contact_unsuccessful,complete_prior_to_reaching_max_age_for_part_c,deceased,moved_out_of_state,not_eligible_for_part_b_exit_with_no_referrals,not_eligible_for_part_b_exit_with_referrals_to_other_programs,part_b_eligibility_not_determined,part_b_eligible_continuing_in_part_c,part_b_eligible_exiting_part_c,withdrawal_by_parent
AS_N,1314-cexiting-2.xlsx,1314,Kentucky,64,1,7,2,8,3,5,7,0,30,1
AS_N,1314-cexiting-2.xlsx,1314,Louisiana,39,2,9,0,1,3,0,4,0,12,8
AS_N,1314-cexiting-2.xlsx,1314,Maine,5,0,0,0,1,0,0,0,NA,4,0
AS_N,1314-cexiting-2.xlsx,1314,Maryland,405,16,129,1,37,0,0,10,89,77,46
AS_N,1314-cexiting-2.xlsx,1314,Massachusetts,822,53,122,1,75,11,56,0,NA,378,126
AS_N,1314-cexiting-2.xlsx,1314,Michigan,148,21,26,1,8,11,1,3,NA,54,23
AS_N,1314-cexiting-2.xlsx,1314,Minnesota,171,4,9,0,11,16,9,2,0,99,21
AS_N,1314-cexiting-2.xlsx,1314,Mississippi,18,0,0,0,3,1,0,0,0,11,3
AS_N,1314-cexiting-2.xlsx,1314,Missouri,59,1,1,0,3,7,1,1,NA,37,8
AS_N,1314-cexiting-2.xlsx,1314,Montana,7,0,1,0,1,2,0,1,NA,1,1
AS_N,1314-cexiting-2.xlsx,1314,Nebraska,15,0,1,0,2,0,0,0,4,7,1
AS_N,1314-cexiting-2.xlsx,1314,Nevada,86,8,10,0,7,3,1,14,0,38,5
AS_N,1314-cexiting-2.xlsx,1314,New Hampshire,63,3,13,1,9,5,2,2,NA,24,4
AS_N,1314-cexiting-2.xlsx,1314,New Jersey,714,28,57,0,43,18,58,79,NA,283,148
AS_N,1314-cexiting-2.xlsx,1314,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS_N,1314-cexiting-2.xlsx,1314,New York,1710,25,105,7,65,40,17,398,549,439,65
AS_N,1314-cexiting-2.xlsx,1314,North Carolina,178,15,12,1,26,9,2,34,0,51,28
AS_N,1314-cexiting-2.xlsx,1314,North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS_N,1314-cexiting-2.xlsx,1314,Northern Marianas,29,0,4,0,2,0,4,0,0,15,4
AS_N,1314-cexiting-2.xlsx,1314,Ohio,167,8,15,0,10,6,17,10,NA,78,23
AS_N,1314-cexiting-2.xlsx,1314,Oklahoma,39,4,6,0,7,0,0,9,NA,9,4
AS_N,1314-cexiting-2.xlsx,1314,Oregon,85,4,2,0,9,5,2,0,NA,49,14
AS_N,1314-cexiting-2.xlsx,1314,Pennsylvania,384,16,98,1,34,20,7,33,NA,140,35
AS_N,1314-cexiting-2.xlsx,1314,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
AS_N,1314-cexiting-2.xlsx,1314,Rhode Island,50,5,10,0,3,0,5,5,0,19,3
AS_N,1314-cexiting-2.xlsx,1314,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS_N,1314-cexiting-2.xlsx,1314,South Dakota,11,1,1,0,0,1,2,0,0,6,0
AS_N,1314-cexiting-2.xlsx,1314,Tennessee,88,1,10,1,8,2,4,10,0,42,10
AS_N,1314-cexiting-2.xlsx,1314,Texas,669,37,58,4,41,9,38,58,NA,228,196
AS_N,1314-cexiting-2.xlsx,1314,Utah,57,2,7,0,10,7,0,4,NA,16,11
AS_N,1314-cexiting-2.xlsx,1314,Vermont,11,0,2,0,1,0,0,0,NA,6,2
AS_N,1314-cexiting-2.xlsx,1314,Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
AS_N,1314-cexiting-2.xlsx,1314,Virginia,316,16,30,1,29,22,22,14,NA,122,60
AS_N,1314-cexiting-2.xlsx,1314,Washington,398,19,22,1,21,28,27,19,NA,151,110
AS_N,1314-cexiting-2.xlsx,1314,West Virginia,26,0,3,0,6,2,1,5,0,7,2
AS_N,1314-cexiting-2.xlsx,1314,Wisconsin,117,9,12,0,4,2,6,11,0,54,19
AS_N,1314-cexiting-2.xlsx,1314,Wyoming,6,0,2,0,2,0,0,0,NA,2,0
AS_N,1314-cexiting-2.xlsx,1314,US and Outlying Areas,14108,566,1410,51,741,313,1299,1745,642,5619,1722
BL_N,1314-cexiting-2.xlsx,1314,Alabama,927,154,121,6,24,22,20,59,NA,376,145
BL_N,1314-cexiting-2.xlsx,1314,Alaska,26,3,4,0,1,2,0,1,0,14,1
BL_N,1314-cexiting-2.xlsx,1314,American Samoa,0,0,0,0,0,0,0,0,0,0,0
BL_N,1314-cexiting-2.xlsx,1314,Arizona,136,13,6,1,17,1,8,19,NA,52,19
BL_N,1314-cexiting-2.xlsx,1314,Arkansas,1113,37,93,2,14,13,47,44,0,126,737
BL_N,1314-cexiting-2.xlsx,1314,California,2900,88,225,16,50,0,582,482,NA,1177,280
BL_N,1314-cexiting-2.xlsx,1314,Colorado,221,25,21,3,11,7,13,34,NA,85,22
BL_N,1314-cexiting-2.xlsx,1314,Connecticut,501,66,29,1,24,16,22,51,NA,248,44
BL_N,1314-cexiting-2.xlsx,1314,Delaware,226,31,23,3,12,8,14,10,NA,104,21
BL_N,1314-cexiting-2.xlsx,1314,District of Columbia,266,37,35,0,10,11,8,40,0,106,19
BL_N,1314-cexiting-2.xlsx,1314,Florida,2799,456,232,12,68,39,93,634,NA,1040,225
BL_N,1314-cexiting-2.xlsx,1314,Georgia,2552,618,0,32,136,61,101,278,0,1082,244
BL_N,1314-cexiting-2.xlsx,1314,Guam,0,0,0,0,0,0,0,0,NA,0,0
BL_N,1314-cexiting-2.xlsx,1314,Hawaii,31,3,1,0,8,1,0,6,NA,7,5
BL_N,1314-cexiting-2.xlsx,1314,Idaho,18,2,2,0,1,0,1,4,NA,5,3
BL_N,1314-cexiting-2.xlsx,1314,Illinois,2509,470,287,13,94,10,108,517,0,838,172
BL_N,1314-cexiting-2.xlsx,1314,Indiana,922,37,127,4,26,46,32,164,NA,259,227
BL_N,1314-cexiting-2.xlsx,1314,Iowa,193,31,5,0,19,5,37,0,NA,55,41
BL_N,1314-cexiting-2.xlsx,1314,Kansas,273,31,30,0,22,5,9,22,NA,128,26
BL_N,1314-cexiting-2.xlsx,1314,Kentucky,376,38,31,1,20,36,19,43,0,183,5
BL_N,1314-cexiting-2.xlsx,1314,Louisiana,1497,218,233,14,50,32,56,143,0,600,151
BL_N,1314-cexiting-2.xlsx,1314,Maine,14,1,1,0,1,0,0,0,NA,10,1
BL_N,1314-cexiting-2.xlsx,1314,Maryland,2423,338,421,9,71,7,26,98,714,491,248
BL_N,1314-cexiting-2.xlsx,1314,Massachusetts,1711,350,224,4,56,20,148,0,NA,692,217
BL_N,1314-cexiting-2.xlsx,1314,Michigan,1632,338,250,7,137,114,63,132,NA,372,219
BL_N,1314-cexiting-2.xlsx,1314,Minnesota,431,24,16,3,21,29,25,5,0,251,57
BL_N,1314-cexiting-2.xlsx,1314,Mississippi,751,62,58,6,23,25,33,169,0,304,71
BL_N,1314-cexiting-2.xlsx,1314,Missouri,550,50,15,3,36,39,31,31,NA,299,46
BL_N,1314-cexiting-2.xlsx,1314,Montana,9,0,5,0,1,0,0,1,NA,0,2
BL_N,1314-cexiting-2.xlsx,1314,Nebraska,42,2,2,0,0,0,2,0,12,22,2
BL_N,1314-cexiting-2.xlsx,1314,Nevada,223,46,12,2,13,0,3,49,0,79,19
BL_N,1314-cexiting-2.xlsx,1314,New Hampshire,21,1,2,0,1,1,0,2,NA,11,3
BL_N,1314-cexiting-2.xlsx,1314,New Jersey,1085,106,99,3,27,43,80,223,NA,383,121
BL_N,1314-cexiting-2.xlsx,1314,New Mexico,81,15,7,0,12,1,9,4,NA,28,5
BL_N,1314-cexiting-2.xlsx,1314,New York,3472,138,198,5,78,59,40,735,1128,938,153
BL_N,1314-cexiting-2.xlsx,1314,North Carolina,2206,333,113,19,81,111,71,491,0,741,246
BL_N,1314-cexiting-2.xlsx,1314,North Dakota,22,1,0,1,5,1,2,2,0,6,4
BL_N,1314-cexiting-2.xlsx,1314,Northern Marianas,0,0,0,0,0,0,0,0,0,0,0
BL_N,1314-cexiting-2.xlsx,1314,Ohio,1597,315,198,12,29,88,136,121,NA,544,154
BL_N,1314-cexiting-2.xlsx,1314,Oklahoma,200,51,17,2,9,1,3,23,NA,62,32
BL_N,1314-cexiting-2.xlsx,1314,Oregon,87,8,13,1,5,3,0,0,NA,51,6
BL_N,1314-cexiting-2.xlsx,1314,Pennsylvania,2480,390,350,9,67,89,88,453,NA,837,197
BL_N,1314-cexiting-2.xlsx,1314,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
BL_N,1314-cexiting-2.xlsx,1314,Rhode Island,151,30,25,0,5,9,13,10,0,42,17
BL_N,1314-cexiting-2.xlsx,1314,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL_N,1314-cexiting-2.xlsx,1314,South Dakota,19,0,1,0,1,1,2,1,0,12,1
BL_N,1314-cexiting-2.xlsx,1314,Tennessee,586,77,53,7,27,6,18,106,0,213,79
BL_N,1314-cexiting-2.xlsx,1314,Texas,2129,307,292,7,102,38,133,182,NA,650,418
BL_N,1314-cexiting-2.xlsx,1314,Utah,42,2,3,0,4,2,0,4,NA,19,8
BL_N,1314-cexiting-2.xlsx,1314,Vermont,23,3,4,0,1,1,0,0,NA,14,0
BL_N,1314-cexiting-2.xlsx,1314,Virgin Islands,77,14,2,0,6,11,11,4,0,27,2
BL_N,1314-cexiting-2.xlsx,1314,Virginia,1366,212,182,7,52,149,126,80,NA,410,148
BL_N,1314-cexiting-2.xlsx,1314,Washington,253,30,11,1,16,13,19,18,NA,107,38
BL_N,1314-cexiting-2.xlsx,1314,West Virginia,100,7,11,0,8,6,4,17,0,33,14
BL_N,1314-cexiting-2.xlsx,1314,Wisconsin,636,101,91,3,11,22,37,82,0,232,57
BL_N,1314-cexiting-2.xlsx,1314,Wyoming,4,0,1,0,0,0,2,0,NA,0,1
BL_N,1314-cexiting-2.xlsx,1314,US and Outlying Areas,42650,5836,4240,224,1537,1251,2349,5659,1854,14662,5038
HI_N,1314-cexiting-2.xlsx,1314,Alabama,167,20,19,2,6,11,6,5,NA,69,29
HI_N,1314-cexiting-2.xlsx,1314,Alaska,47,6,6,0,9,2,3,1,0,17,3
HI_N,1314-cexiting-2.xlsx,1314,American Samoa,0,0,0,0,0,0,0,0,0,0,0
HI_N,1314-cexiting-2.xlsx,1314,Arizona,1104,129,84,7,14,37,64,197,NA,467,105
HI_N,1314-cexiting-2.xlsx,1314,Arkansas,280,4,24,2,4,4,9,17,0,32,184
HI_N,1314-cexiting-2.xlsx,1314,California,27230,780,2140,98,285,0,5560,4943,NA,11164,2260
HI_N,1314-cexiting-2.xlsx,1314,Colorado,1656,122,225,1,62,70,106,223,NA,680,167
HI_N,1314-cexiting-2.xlsx,1314,Connecticut,1315,132,108,0,66,75,84,127,NA,596,127
HI_N,1314-cexiting-2.xlsx,1314,Delaware,116,13,13,0,4,4,11,8,NA,54,9
HI_N,1314-cexiting-2.xlsx,1314,District of Columbia,78,6,6,0,4,13,7,4,0,36,2
HI_N,1314-cexiting-2.xlsx,1314,Florida,4419,309,360,7,134,64,197,1119,NA,1933,296
HI_N,1314-cexiting-2.xlsx,1314,Georgia,302,63,0,5,33,5,16,23,0,123,34
HI_N,1314-cexiting-2.xlsx,1314,Guam,0,0,0,0,0,0,0,0,NA,0,0
HI_N,1314-cexiting-2.xlsx,1314,Hawaii,220,16,19,0,26,9,16,23,NA,74,37
HI_N,1314-cexiting-2.xlsx,1314,Idaho,267,51,52,0,9,12,18,24,NA,73,28
HI_N,1314-cexiting-2.xlsx,1314,Illinois,5311,442,745,6,92,56,374,898,0,2235,463
HI_N,1314-cexiting-2.xlsx,1314,Indiana,1072,16,271,3,28,57,34,154,NA,331,178
HI_N,1314-cexiting-2.xlsx,1314,Iowa,412,39,37,0,19,4,91,4,NA,120,98
HI_N,1314-cexiting-2.xlsx,1314,Kansas,776,70,98,5,35,15,31,63,NA,382,77
HI_N,1314-cexiting-2.xlsx,1314,Kentucky,227,15,24,1,18,18,18,19,0,110,4
HI_N,1314-cexiting-2.xlsx,1314,Louisiana,148,3,15,2,12,4,9,13,0,78,12
HI_N,1314-cexiting-2.xlsx,1314,Maine,18,1,2,0,0,2,0,1,NA,12,0
HI_N,1314-cexiting-2.xlsx,1314,Maryland,1212,96,332,5,44,5,19,32,304,245,130
HI_N,1314-cexiting-2.xlsx,1314,Massachusetts,4346,1025,502,4,165,43,376,0,NA,1689,542
HI_N,1314-cexiting-2.xlsx,1314,Michigan,601,100,93,2,41,24,15,25,NA,173,128
HI_N,1314-cexiting-2.xlsx,1314,Minnesota,415,16,18,2,20,34,32,1,0,258,34
HI_N,1314-cexiting-2.xlsx,1314,Mississippi,34,0,0,1,2,2,3,0,0,24,2
HI_N,1314-cexiting-2.xlsx,1314,Missouri,67,0,0,0,8,4,5,2,NA,43,5
HI_N,1314-cexiting-2.xlsx,1314,Montana,35,7,6,0,2,3,1,2,NA,11,3
HI_N,1314-cexiting-2.xlsx,1314,Nebraska,152,7,22,3,7,0,2,0,38,63,10
HI_N,1314-cexiting-2.xlsx,1314,Nevada,928,92,75,7,41,9,22,174,0,408,100
HI_N,1314-cexiting-2.xlsx,1314,New Hampshire,67,3,8,0,3,0,8,7,NA,29,9
HI_N,1314-cexiting-2.xlsx,1314,New Jersey,3170,167,287,6,85,133,360,586,NA,1297,249
HI_N,1314-cexiting-2.xlsx,1314,New Mexico,2947,464,355,5,240,169,171,235,NA,817,491
HI_N,1314-cexiting-2.xlsx,1314,New York,7245,163,385,6,146,155,107,1376,2722,1922,263
HI_N,1314-cexiting-2.xlsx,1314,North Carolina,1644,133,127,7,71,119,79,376,0,523,209
HI_N,1314-cexiting-2.xlsx,1314,North Dakota,26,3,0,0,7,0,4,0,0,10,2
HI_N,1314-cexiting-2.xlsx,1314,Northern Marianas,0,0,0,0,0,0,0,0,0,0,0
HI_N,1314-cexiting-2.xlsx,1314,Ohio,374,36,54,1,19,15,34,19,NA,148,48
HI_N,1314-cexiting-2.xlsx,1314,Oklahoma,350,55,37,0,11,4,9,70,NA,101,63
HI_N,1314-cexiting-2.xlsx,1314,Oregon,720,62,61,1,35,29,0,2,NA,467,63
HI_N,1314-cexiting-2.xlsx,1314,Pennsylvania,1919,173,347,4,103,63,56,237,NA,814,122
HI_N,1314-cexiting-2.xlsx,1314,Puerto Rico,5039,669,1517,12,168,2,2,1670,0,542,457
HI_N,1314-cexiting-2.xlsx,1314,Rhode Island,567,83,76,1,31,15,57,33,0,218,53
HI_N,1314-cexiting-2.xlsx,1314,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HI_N,1314-cexiting-2.xlsx,1314,South Dakota,52,8,1,0,10,3,4,0,0,24,2
HI_N,1314-cexiting-2.xlsx,1314,Tennessee,307,16,21,6,22,16,16,59,0,113,38
HI_N,1314-cexiting-2.xlsx,1314,Texas,12478,1569,1694,41,330,226,770,1498,NA,3792,2558
HI_N,1314-cexiting-2.xlsx,1314,Utah,745,66,68,1,32,59,15,87,NA,290,127
HI_N,1314-cexiting-2.xlsx,1314,Vermont,9,0,2,0,0,0,1,0,NA,6,0
HI_N,1314-cexiting-2.xlsx,1314,Virgin Islands,26,12,1,0,1,1,2,1,0,6,2
HI_N,1314-cexiting-2.xlsx,1314,Virginia,858,51,138,4,37,83,71,62,NA,295,117
HI_N,1314-cexiting-2.xlsx,1314,Washington,1378,124,63,4,58,95,112,81,NA,639,202
HI_N,1314-cexiting-2.xlsx,1314,West Virginia,33,2,6,0,3,0,2,4,0,14,2
HI_N,1314-cexiting-2.xlsx,1314,Wisconsin,973,70,158,0,25,24,45,94,0,466,91
HI_N,1314-cexiting-2.xlsx,1314,Wyoming,98,12,11,0,11,2,3,0,NA,52,7
HI_N,1314-cexiting-2.xlsx,1314,US and Outlying Areas,94193,7542,10728,263,2651,1825,9071,14614,3064,34173,10262
MU_N,1314-cexiting-2.xlsx,1314,Alabama,117,20,19,0,7,5,2,5,NA,40,19
MU_N,1314-cexiting-2.xlsx,1314,Alaska,92,14,14,0,8,8,3,7,0,29,9
MU_N,1314-cexiting-2.xlsx,1314,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MU_N,1314-cexiting-2.xlsx,1314,Arizona,87,13,7,0,2,4,5,7,NA,32,17
MU_N,1314-cexiting-2.xlsx,1314,Arkansas,108,4,15,1,0,1,2,7,0,16,62
MU_N,1314-cexiting-2.xlsx,1314,California,1326,13,35,5,21,0,73,81,NA,1068,30
MU_N,1314-cexiting-2.xlsx,1314,Colorado,191,7,21,0,15,13,14,21,NA,86,14
MU_N,1314-cexiting-2.xlsx,1314,Connecticut,117,17,7,1,5,1,8,12,NA,41,25
MU_N,1314-cexiting-2.xlsx,1314,Delaware,81,4,8,0,5,5,9,8,NA,37,5
MU_N,1314-cexiting-2.xlsx,1314,District of Columbia,25,1,4,0,5,1,2,1,0,10,1
MU_N,1314-cexiting-2.xlsx,1314,Florida,369,52,35,1,14,10,3,55,NA,164,35
MU_N,1314-cexiting-2.xlsx,1314,Georgia,925,163,0,7,65,22,48,102,0,411,107
MU_N,1314-cexiting-2.xlsx,1314,Guam,25,1,6,2,2,0,0,0,NA,10,4
MU_N,1314-cexiting-2.xlsx,1314,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MU_N,1314-cexiting-2.xlsx,1314,Idaho,59,2,18,0,2,2,6,9,NA,16,4
MU_N,1314-cexiting-2.xlsx,1314,Illinois,525,64,80,3,21,1,34,38,0,239,45
MU_N,1314-cexiting-2.xlsx,1314,Indiana,322,4,71,1,12,22,14,39,NA,98,61
MU_N,1314-cexiting-2.xlsx,1314,Iowa,167,23,8,0,7,3,40,0,NA,49,37
MU_N,1314-cexiting-2.xlsx,1314,Kansas,151,13,23,0,8,6,3,10,NA,74,14
MU_N,1314-cexiting-2.xlsx,1314,Kentucky,193,15,24,0,11,9,10,13,0,104,7
MU_N,1314-cexiting-2.xlsx,1314,Louisiana,100,6,21,0,8,0,5,13,0,36,11
MU_N,1314-cexiting-2.xlsx,1314,Maine,31,1,4,0,0,2,0,1,NA,20,3
MU_N,1314-cexiting-2.xlsx,1314,Maryland,366,20,107,1,22,5,5,9,111,52,34
MU_N,1314-cexiting-2.xlsx,1314,Massachusetts,576,77,103,1,20,10,40,0,NA,235,90
MU_N,1314-cexiting-2.xlsx,1314,Michigan,182,28,24,0,16,6,6,5,NA,63,34
MU_N,1314-cexiting-2.xlsx,1314,Minnesota,197,8,20,2,10,16,12,4,0,106,19
MU_N,1314-cexiting-2.xlsx,1314,Mississippi,34,5,4,0,3,0,1,3,0,13,5
MU_N,1314-cexiting-2.xlsx,1314,Missouri,365,6,7,4,27,32,27,13,NA,214,35
MU_N,1314-cexiting-2.xlsx,1314,Montana,46,6,5,0,5,11,3,4,NA,8,4
MU_N,1314-cexiting-2.xlsx,1314,Nebraska,28,1,2,0,0,0,0,0,4,21,0
MU_N,1314-cexiting-2.xlsx,1314,Nevada,180,15,9,0,13,2,4,36,0,74,27
MU_N,1314-cexiting-2.xlsx,1314,New Hampshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MU_N,1314-cexiting-2.xlsx,1314,New Jersey,477,25,55,1,21,19,40,51,NA,182,83
